Year,URL
2023,https://www.ted.com/playlists/839/the_most_popular_ted_talks_of_2023
2022,https://www.ted.com/playlists/823/the_most_popular_ted_talks_of_2022
2021,https://www.ted.com/playlists/805/the_most_popular_ted_talks_of_2021
2020,https://www.ted.com/playlists/780/the_most_popular_talks_of_2020
2019,https://www.ted.com/playlists/728/the_most_popular_talks_of_2019
2018,https://www.ted.com/playlists/682/the_most_popular_ted_talks_of_2018
2017,https://www.ted.com/playlists/608/most_popular_ted_talks_of_2017
2016,https://www.ted.com/playlists/451/the_most_popular_talks_of_2016
2015,https://www.ted.com/playlists/320/the_most_popular_talks_of_2015_1
2014,https://www.ted.com/playlists/215/the_most_popular_talks_of_2014
